Date,Close/Last,Volume,Open,High,Low
10/19/2022,$22.25,2720649,$22.32,$22.6,$21.93
10/18/2022,$22.52,2283871,$22.82,$22.88,$22.27
10/17/2022,$22.23,2590224,$22.26,$22.5596,$22.06
10/14/2022,$21.71,2837801,$22.33,$22.83,$21.62
10/13/2022,$22.21,4444620,$20.62,$22.33,$20.2373
10/12/2022,$21.11,3760327,$21.29,$21.42,$20.74
10/11/2022,$21.38,2964912,$21.53,$21.8386,$21.205
10/10/2022,$21.72,2782598,$22.01,$22.13,$21.6
10/07/2022,$21.85,3523490,$22.6,$22.71,$21.66
10/06/2022,$22.95,2265023,$23.26,$23.5,$22.925
10/05/2022,$23.32,2431608,$23,$23.4,$22.845
10/04/2022,$23.42,3970964,$22.9,$23.44,$22.81
10/03/2022,$22.44,4102492,$21.78,$22.48,$21.52
09/30/2022,$21.52,4252104,$22.07,$22.14,$21.455
09/29/2022,$22.2,3009573,$22.4,$22.63,$21.99
09/28/2022,$23.04,2234669,$22.76,$23.145,$22.64
09/27/2022,$22.64,2458153,$23.16,$23.4,$22.46
09/26/2022,$22.9,2817267,$23.23,$23.6,$22.88
09/23/2022,$23.41,2490272,$23.35,$23.55,$22.955
09/22/2022,$23.71,2423813,$24.35,$24.4,$23.69
09/21/2022,$24.25,3827936,$24.72,$25.08,$24.24
09/20/2022,$24.54,2912111,$24.57,$24.73,$24.32
09/19/2022,$24.82,2281672,$23.89,$24.845,$23.82
09/16/2022,$24.14,5513307,$24.26,$24.33,$23.88
09/15/2022,$24.53,4770740,$24.53,$25,$24.42
09/14/2022,$24.54,3419061,$24.76,$24.87,$24.29
09/13/2022,$24.64,4379553,$26,$26.09,$24.401
09/12/2022,$26.75,2742971,$26.68,$26.83,$26.41
09/09/2022,$26.38,2023905,$26.54,$26.62,$26.335
09/08/2022,$26.26,2923993,$25.45,$26.27,$25.115
09/07/2022,$26.05,2404248,$25.83,$26.105,$25.57
09/06/2022,$25.91,3205973,$26.01,$26.18,$25.605
09/02/2022,$25.89,2592246,$26.29,$26.485,$25.745
09/01/2022,$25.93,2862008,$25.9,$25.94,$25.51
08/31/2022,$26.07,2465661,$26.29,$26.43,$25.995
08/30/2022,$26.16,2603265,$26.27,$26.375,$25.9
08/29/2022,$26.11,3638289,$26.3,$26.6,$26.08
08/26/2022,$26.49,5437900,$27.4,$27.51,$26.3701
08/25/2022,$27.37,998253,$27.16,$27.555,$27.11
08/24/2022,$27.07,1320864,$27.07,$27.2,$26.91
08/23/2022,$27.03,2128154,$27.03,$27.345,$26.95
08/22/2022,$26.98,2432582,$27.27,$27.29,$26.84
08/19/2022,$27.71,1699375,$28.15,$28.32,$27.59
08/18/2022,$28.46,1246546,$28.38,$28.52,$28.21
08/17/2022,$28.4,2082875,$28.29,$28.44,$27.9318
