Date,Close/Last,Volume,Open,High,Low
10/19/2022,$132.97,176115,$133.58,$133.8899,$132.0863
10/18/2022,$134.26,350584,$135.26,$135.31,$133.22
10/17/2022,$136.16,206511,$135.85,$136.8,$135.85
10/14/2022,$134.11,303559,$136.4,$136.4,$134.0382
10/13/2022,$136.38,294000,$133.27,$136.8,$132.5
10/12/2022,$135,214891,$135.55,$136.31,$135
10/11/2022,$135.06,282391,$134.12,$136.85,$134.12
10/10/2022,$134.86,294220,$135.76,$135.76,$134.26
10/07/2022,$135.85,292348,$136.33,$136.84,$135.205
10/06/2022,$136.17,246216,$136.35,$137.12,$136.01
10/05/2022,$138.09,193066,$137.54,$138.52,$136.37
10/04/2022,$139.85,325460,$138.35,$140.18,$138.2686
10/03/2022,$135.59,368819,$134.15,$136.2,$133.8
09/30/2022,$130.29,424944,$134.21,$134.43,$130.07
09/29/2022,$133.76,421077,$135.11,$135.15,$132.545
09/28/2022,$136.89,213092,$134.76,$137.4358,$134.35
09/27/2022,$135.74,303405,$136.89,$137.23,$134.84
09/26/2022,$135.62,265804,$136.13,$137.41,$135.1
09/23/2022,$137.28,475738,$137.6,$137.61,$135.84
09/22/2022,$139.05,388351,$140.72,$141.5,$138.12
09/21/2022,$137.58,238254,$139.5,$140,$137.57
09/20/2022,$140.73,276914,$141.6,$142.15,$140.2
09/19/2022,$141.45,238482,$140.12,$141.68,$140
09/16/2022,$140.74,212479,$140.32,$141.26,$140.19
09/15/2022,$140.45,239892,$141.16,$142.36,$140.24
09/14/2022,$141.47,199519,$141.54,$142.71,$140.82
09/13/2022,$140.23,265736,$142.49,$142.947,$140.2
09/12/2022,$145.04,228666,$144.66,$145.89,$144.66
09/09/2022,$145.59,159385,$146.03,$146.03,$145.2
09/08/2022,$144.13,264479,$142.61,$144.26,$142.47
09/07/2022,$143.34,311232,$141.99,$143.509,$140.96
09/06/2022,$143.94,232272,$145,$145.33,$143.28
09/02/2022,$145.56,189666,$147.55,$147.87,$145.08
09/01/2022,$146.8,268599,$147.61,$147.865,$145.6111
08/31/2022,$149.37,293438,$150.55,$151.04,$149.315
08/30/2022,$150.17,290758,$152.65,$152.77,$149.55
08/29/2022,$151.77,173840,$151.22,$152.4757,$151.2
08/26/2022,$151.77,207526,$155.15,$155.495,$151.731
08/25/2022,$156,112884,$155,$156,$154.53
08/24/2022,$154.5,220615,$153.4,$155.15,$153.21
08/23/2022,$153.48,185602,$153.74,$155.28,$153.48
08/22/2022,$154.32,206018,$155.6,$155.95,$153.95
08/19/2022,$156.46,184333,$157.67,$157.97,$156.12
08/18/2022,$159.13,163409,$159.48,$159.77,$158.78
08/17/2022,$160.77,148133,$160.08,$161.68,$159.81
08/16/2022,$159.42,191545,$159.3,$159.93,$158.58
08/15/2022,$160.46,142386,$160.9,$160.9,$159.42
08/12/2022,$161.31,203720,$160.05,$161.61,$159.24
08/11/2022,$158.6,124556,$158.88,$159.7299,$158.28
08/10/2022,$157.89,243116,$156,$158.35,$155.1701
08/09/2022,$152.94,289163,$155,$156,$152.46
08/08/2022,$156.2,259938,$157,$157.285,$156.04
08/05/2022,$157.31,233253,$157.61,$158.0214,$156.25
08/04/2022,$156.66,398509,$157.25,$158.1899,$156.63
08/03/2022,$163.13,190939,$162.84,$163.88,$161.25
08/02/2022,$163.66,215906,$164.3,$165.2,$163.52
08/01/2022,$166.77,248671,$165.58,$167.04,$165.58
07/29/2022,$162.59,293716,$159.95,$162.78,$159.335
07/28/2022,$159.51,176719,$158.7,$159.8,$157.7
07/27/2022,$160.05,129326,$158.93,$160.4,$158
07/26/2022,$158.06,154507,$158.81,$159.07,$157.93
07/25/2022,$159.42,111667,$160.05,$160.05,$158.8801
07/22/2022,$160.3,133392,$160.59,$161.165,$159.72
07/21/2022,$159.18,199242,$158.53,$159.42,$158.09
07/20/2022,$157.9,255098,$159.6,$159.68,$157.4
07/19/2022,$160.42,321440,$159.17,$160.54,$158.745
07/18/2022,$156.75,228042,$157,$158.13,$156.38
07/15/2022,$156.7,204339,$155.69,$156.85,$154.93
07/14/2022,$153.14,248563,$154.42,$154.42,$152.175
07/13/2022,$155.44,120436,$154.05,$155.97,$153.9101
07/12/2022,$155.43,179420,$154.66,$156.45,$154.53
07/11/2022,$155.17,159743,$156.6,$156.62,$155.03
07/08/2022,$156.76,159136,$156.42,$157.33,$156.2
07/07/2022,$157.15,241763,$155.11,$157.17,$155.02
07/06/2022,$152.83,223528,$153.61,$153.61,$152.14
07/05/2022,$154.67,208561,$153.15,$154.71,$152.6
07/01/2022,$155.47,178273,$152.89,$155.59,$152.82
06/30/2022,$154.17,147296,$153.66,$154.63,$152.395
06/29/2022,$155.67,108300,$156.4,$156.43,$155.2195
06/28/2022,$157.11,225728,$159.26,$160.82,$157.02
